50 100
6 69 T
6 70 N
6 71 H
6 72 H
6 73 N
6 74 B
6 75 T
6 76 N
6 77 T
6 78 N
6 79 N
6 80 N
6 81 N
6 82 T
6 83 N
6 84 N
6 85 T
6 86 N
6 87 N
6 88 H
6 89 B
6 90 N
6 91 T
6 92 B
6 93 H
6 94 T
6 95 H
6 96 N
6 97 N
6 98 B
6 99 N
6 100 N
7 1 N
7 2 T
7 3 N
7 4 H
7 5 H
7 6 H
7 7 T
7 8 H
7 9 N
7 10 T
7 11 N
7 12 B
7 13 H
7 14 T
7 15 B
7 16 N
7 17 N
7 18 N
7 19 H
7 20 N
7 21 H
7 22 H
7 23 N
7 24 N
7 25 N
7 26 T
7 27 H
7 28 N
7 29 T
7 30 N
7 31 H
7 32 B
7 33 T
7 34 N
7 35 N
7 36 H
7 37 H
7 38 N
7 39 H
7 40 N
7 41 T
7 42 N
7 43 N
7 44 N
7 45 B
7 46 N
7 47 B
7 48 N
7 49 N
7 50 N
7 51 N
7 52 B
7 53 N
7 54 N
7 55 N
7 56 T
7 57 N
7 58 N
7 59 N
7 60 N
7 61 N
7 62 T
7 63 H
7 64 T
7 65 N
7 66 N
7 67 H
7 68 H
7 69 T
7 70 H
7 71 N
7 72 H
7 73 H
7 74 N
7 75 N
7 76 N
7 77 T
7 78 N
7 79 N
7 80 N
7 81 H
7 82 H
7 83 B
7 84 T
7 85 N
7 86 N
7 87 T
7 88 N
7 89 N
7 90 N
7 91 H
7 92 T
7 93 H
7 94 T
7 95 N
7 96 N
7 97 N
7 98 N
7 99 T
7 100 N
8 1 T
8 2 N
8 3 T
8 4 N
8 5 H
8 6 N
8 7 T
8 8 T
8 9 N
8 10 T
8 11 N
8 12 N
8 13 N
8 14 H
8 15 T
8 16 N
8 17 N
8 18 B
8 19 B
8 20 N
8 21 H
8 22 N
8 23 H
8 24 N
8 25 B
8 26 N
8 27 B
8 28 H
8 29 N
8 30 N
8 31 T
8 32 N
8 33 N
8 34 B
8 35 N
8 36 B
8 37 N
8 38 T
8 39 T
8 40 N
8 41 B
8 42 N
8 43 N
8 44 B
8 45 T
8 46 N
8 47 T
8 48 N
8 49 N
8 50 H
8 51 T
8 52 N
8 53 N
8 54 T
8 55 N
8 56 H
8 57 H
8 58 N
8 59 N
8 60 N
8 61 T
8 62 N
8 63 B
8 64 H
8 65 T
8 66 N
8 67 N
8 68 H
8 69 N
8 70 N
8 71 N
8 72 H
8 73 N
8 74 H
8 75 B
8 76 N
8 77 T
8 78 N
8 79 T
8 80 H
8 81 T
8 82 N
8 83 H
8 84 N
8 85 H
8 86 N
8 87 N
8 88 N
8 89 N
8 90 B
8 91 N
8 92 T
8 93 N
8 94 N
8 95 N
8 96 N
8 97 N
8 98 H
8 99 N
8 100 N
9 1 H
9 2 N
9 3 T
9 4 B
9 5 B
9 6 T
9 7 N
9 8 N
9 9 H
9 10 H
9 11 B
9 12 N
9 13 N
9 14 T
9 15 N
9 16 B
9 17 T
9 18 T
9 19 N
9 20 H
9 21 N
9 22 N
9 23 T
9 24 T
9 25 N
9 26 N
9 27 H
9 28 N
9 29 N
9 30 H
9 31 N
9 32 N
9 33 B
9 34 N
9 35 H
9 36 N
9 37 N
9 38 T
9 39 N
9 40 N
9 41 N
9 42 T
9 43 N
9 44 N
9 45 N
9 46 N
9 47 T
9 48 N
9 49 T
9 50 T
9 51 N
9 52 B
9 53 N
9 54 N
9 55 H
9 56 N
9 57 H
9 58 T
9 59 N
9 60 T
9 61 N
9 62 B
9 63 T
9 64 T
9 65 N
9 66 B
9 67 N
9 68 T
9 69 H
9 70 N
9 71 N
9 72 N
9 73 N
9 74 N
9 75 T
9 76 N
9 77 H
9 78 H
9 79 H
9 80 N
9 81 B
9 82 T
9 83 T
9 84 N
9 85 N
9 86 H
9 87 N
9 88 T
9 89 T
9 90 N
9 91 N
9 92 N
9 93 N
9 94 T
9 95 H
9 96 H
9 97 N
9 98 N
9 99 N
9 100 T
10 1 H
10 2 T
10 3 H
10 4 N
10 5 T
10 6 N
10 7 T
10 8 H
10 9 T
10 10 N
10 11 B
10 12 T
10 13 N
10 14 N
10 15 N
10 16 N
10 17 N
10 18 N
10 19 H
10 20 H
10 21 N
10 22 N
10 23 T
10 24 T
10 25 N
10 26 N
10 27 N
10 28 N
10 29 N
10 30 N
10 31 T
10 32 N
10 33 N
10 34 N
10 35 N
10 36 B
10 37 B
10 38 N
10 39 N
10 40 H
10 41 B
10 42 N
10 43 N
10 44 T
10 45 H
10 46 B
10 47 N
10 48 N
10 49 N
10 50 T
10 51 N
10 52 N
10 53 H
10 54 N
10 55 H
10 56 N
10 57 H
10 58 N
10 59 T
10 60 B
10 61 H
10 62 N
10 63 N
10 64 N
10 65 N
10 66 N
10 67 T
10 68 H
10 69 T
10 70 B
10 71 B
10 72 H
10 73 B
10 74 T
10 75 B
10 76 N
10 77 N
10 78 T
10 79 N
10 80 N
10 81 N
10 82 T
10 83 N
10 84 T
10 85 H
10 86 H
10 87 N
10 88 N
10 89 B
10 90 N
10 91 T
10 92 N
10 93 N
10 94 H
10 95 N
10 96 H
10 97 H
10 98 N
10 99 H
10 100 N
11 1 N
11 2 H
11 3 T
11 4 H
11 5 N
11 6 N
11 7 N
11 8 B
11 9 B
11 10 B
11 11 T
11 12 H
11 13 T
11 14 H
11 15 T
11 16 H
11 17 H
11 18 T
11 19 N
11 20 N
11 21 T
11 22 N
11 23 T
11 24 N
11 25 N
11 26 N
11 27 N
11 28 N
11 29 T
11 30 N
11 31 T
11 32 H
11 33 N
11 34 N
11 35 N
11 36 N
11 37 N
11 38 N
11 39 H
11 40 B
11 41 B
11 42 H
11 43 N
11 44 N
11 45 N
11 46 N
11 47 N
11 48 T
11 49 N
11 50 H
11 51 H
11 52 N
11 53 N
11 54 H
11 55 N
11 56 H
11 57 H
11 58 N
11 59 N
11 60 N
11 61 B
11 62 T
11 63 N
11 64 N
11 65 H
11 66 N
11 67 N
11 68 N
11 69 N
11 70 N
11 71 N
11 72 N
11 73 H
11 74 H
11 75 N
11 76 H
11 77 N
11 78 H
11 79 N
11 80 N
11 81 T
11 82 N
11 83 T
11 84 B
11 85 N
11 86 H
11 87 H
11 88 B
11 89 N
11 90 N
11 91 T
11 92 N
11 93 N
11 94 T
11 95 N
11 96 N
11 97 N
11 98 B
11 99 B
11 100 H
12 1 N
12 2 B
12 3 H
12 4 N
12 5 N
12 6 N
12 7 B
12 8 N
12 9 T
12 10 N
12 11 N
12 12 N
12 13 B
12 14 N
12 15 T
12 16 T
12 17 N
12 18 N
12 19 H
12 20 H
12 21 N
12 22 T
12 23 N
12 24 N
12 25 N
12 26 H
12 27 N
12 28 N
12 29 H
12 30 N
12 31 N
12 32 T
12 33 H
12 34 N
12 35 N
12 36 H
12 37 N
12 38 H
12 39 N
12 40 N
12 41 T
12 42 T
12 43 H
12 44 N
12 45 H
12 46 T
12 47 N
12 48 N
12 49 B
12 50 H
12 51 T
12 52 H
12 53 N
12 54 T
12 55 N
12 56 N
12 57 B
12 58 N
12 59 H
12 60 N
12 61 N
12 62 N
12 63 T
12 64 N
12 65 H
12 66 B
12 67 H
12 68 N
12 69 B
12 70 H
12 71 N
12 72 B
12 73 H
12 74 H
12 75 N
12 76 N
12 77 B
12 78 B
12 79 N
12 80 T
12 81 H
12 82 H
12 83 H
12 84 B
12 85 N
12 86 N
12 87 T
12 88 T
12 89 H
12 90 H
12 91 H
12 92 N
12 93 N
12 94 T
12 95 H
12 96 H
12 97 N
12 98 T
12 99 N
12 100 B
13 1 T
13 2 N
13 3 N
13 4 N
13 5 N
13 6 T
13 7 N
13 8 H
13 9 N
13 10 N
13 11 N
13 12 N
13 13 T
13 14 N
13 15 N
13 16 N
13 17 N
13 18 B
13 19 H
13 20 N
13 21 N
13 22 N
13 23 T
13 24 N
13 25 N
13 26 T
13 27 N
13 28 T
13 29 T
13 30 N
13 31 T
13 32 N
13 33 T
13 34 N
13 35 H
13 36 N
13 37 B
13 38 T
13 39 H
13 40 H
13 41 T
13 42 T
13 43 N
13 44 H
13 45 H
13 46 T
13 47 N
13 48 T
13 49 N
13 50 B
13 51 N
13 52 N
13 53 N
13 54 H
13 55 N
13 56 H
13 57 H
13 58 N
13 59 B
13 60 H
13 61 N
13 62 N
13 63 N
13 64 N
13 65 N
13 66 N
13 67 N
13 68 T
13 69 T
13 70 B
13 71 N
13 72 B
13 73 H
13 74 H
13 75 N
13 76 N
13 77 N
13 78 H
13 79 H
13 80 T
13 81 B
13 82 H
13 83 B
13 84 H
13 85 T
13 86 H
13 87 N
13 88 T
13 89 N
13 90 T
13 91 B
13 92 B
13 93 N
13 94 H
13 95 H
13 96 N
13 97 T
13 98 H
13 99 N
13 100 H
14 1 N
14 2 N
14 3 N
14 4 N
14 5 N
14 6 H
14 7 B
14 8 T
14 9 T
14 10 H
14 11 N
14 12 N
14 13 T
14 14 N
14 15 H
14 16 B
14 17 B
14 18 N
14 19 B
14 20 N
14 21 N
14 22 N
14 23 N
14 24 H
14 25 H
14 26 N
14 27 T
14 28 T
14 29 T
14 30 T
14 31 H
14 32 N
14 33 T
14 34 N
14 35 T
14 36 T
14 37 N
14 38 N
14 39 T
14 40 N
14 41 B
14 42 N
14 43 N
14 44 H
14 45 H
14 46 T
14 47 T
14 48 H
14 49 T
14 50 T
14 51 N
14 52 N
14 53 N
14 54 T
14 55 N
14 56 N
14 57 H
14 58 N
14 59 T
14 60 N
14 61 H
14 62 T
14 63 T
14 64 H
14 65 N
14 66 T
14 67 N
14 68 N
14 69 N
14 70 N
14 71 B
14 72 N
14 73 N
14 74 N
14 75 N
14 76 T
14 77 H
14 78 N
14 79 N
14 80 N
14 81 N
14 82 H
14 83 N
14 84 H
14 85 N
14 86 N
14 87 B
14 88 T
14 89 N
14 90 H
14 91 N
14 92 T
14 93 H
14 94 T
14 95 N
14 96 T
14 97 N
14 98 H
14 99 N
14 100 T
15 1 N
15 2 H
15 3 H
15 4 H
15 5 H
15 6 T
15 7 N
15 8 N
15 9 N
15 10 T
15 11 H
15 12 N
15 13 T
15 14 T
15 15 T
15 16 N
15 17 T
15 18 T
15 19 N
15 20 B
15 21 N
15 22 N
15 23 N
15 24 N
15 25 B
15 26 B
15 27 N
15 28 N
15 29 T
15 30 N
15 31 N
15 32 N
15 33 H
15 34 T
15 35 N
15 36 N
15 37 N
15 38 H
15 39 H
15 40 H
15 41 H
15 42 T
15 43 N
15 44 N
15 45 N
15 46 N
15 47 N
15 48 B
15 49 N
15 50 N
15 51 N
15 52 T
15 53 N
15 54 H
15 55 T
15 56 N
15 57 T
15 58 T
15 59 N
15 60 N
15 61 N
15 62 N
15 63 N
15 64 N
15 65 N
15 66 H
15 67 T
15 68 T
15 69 N
15 70 H
15 71 N
15 72 B
15 73 H
15 74 N
15 75 H
15 76 H
15 77 N
15 78 H
15 79 N
15 80 N
15 81 H
15 82 N
15 83 T
15 84 N
15 85 N
15 86 N
15 87 N
15 88 N
15 89 N
15 90 T
15 91 H
15 92 H
15 93 H
15 94 B
15 95 T
15 96 H
15 97 B
15 98 N
15 99 H
15 100 H
16 1 N
16 2 H
16 3 T
16 4 H
16 5 N
16 6 N
16 7 H
16 8 H
16 9 H
16 10 N
16 11 H
16 12 N
16 13 N
16 14 H
16 15 N
16 16 N
16 17 N
16 18 N
16 19 T
16 20 B
16 21 T
16 22 T
16 23 N
16 24 T
16 25 N
16 26 H
16 27 T
16 28 N
16 29 T
16 30 N
16 31 T
16 32 H
16 33 H
16 34 N
16 35 H
16 36 N
16 37 H
16 38 N
16 39 T
16 40 T
16 41 T
16 42 N
16 43 N
16 44 H
16 45 T
16 46 N
16 47 B
16 48 N
16 49 N
16 50 H
16 51 N
16 52 T
16 53 N
16 54 N
16 55 H
16 56 T
16 57 N
16 58 T
16 59 N
16 60 T
16 61 H
16 62 N
16 63 T
16 64 B
16 65 B
16 66 N
16 67 T
16 68 T
16 69 H
16 70 N
16 71 N
16 72 H
16 73 N
16 74 N
16 75 T
16 76 N
16 77 N
16 78 N
16 79 T
16 80 H
16 81 N
16 82 B
16 83 N
16 84 B
16 85 T
16 86 N
16 87 N
16 88 N
16 89 N
16 90 N
16 91 T
16 92 N
16 93 T
16 94 H
16 95 N
16 96 T
16 97 N
16 98 H
16 99 H
16 100 N
17 1 N
17 2 T
17 3 H
17 4 T
17 5 N
17 6 B
17 7 N
17 8 N
17 9 H
17 10 T
17 11 T
17 12 H
17 13 N
17 14 N
17 15 T
17 16 B
17 17 H
17 18 H
17 19 H
17 20 N
17 21 T
17 22 N
17 23 N
17 24 N
17 25 T
17 26 H
17 27 N
17 28 N
17 29 T
17 30 N
17 31 T
17 32 N
17 33 T
17 34 N
17 35 H
17 36 T
17 37 T
17 38 N
17 39 N
17 40 N
17 41 N
17 42 T
17 43 N
17 44 B
17 45 N
17 46 N
17 47 B
17 48 T
17 49 T
17 50 H
17 51 N
17 52 N
17 53 T
17 54 H
17 55 N
17 56 H
17 57 H
17 58 N
17 59 H
17 60 H
17 61 N
17 62 T
17 63 N
17 64 N
17 65 H
17 66 N
17 67 T
17 68 H
17 69 T
17 70 B
17 71 H
17 72 N
17 73 N
17 74 T
17 75 N
17 76 H
17 77 N
17 78 T
17 79 H
17 80 T
17 81 T
17 82 B
17 83 B
17 84 N
17 85 N
17 86 H
17 87 N
17 88 N
17 89 N
17 90 N
17 91 N
17 92 N
17 93 N
17 94 N
17 95 T
17 96 H
17 97 N
17 98 N
17 99 N
17 100 H
18 1 B
18 2 H
18 3 T
18 4 N
18 5 H
18 6 N
18 7 N
18 8 N
18 9 N
18 10 B
18 11 B
18 12 N
18 13 N
18 14 H
18 15 H
18 16 T
18 17 N
18 18 H
18 19 N
18 20 N
18 21 N
18 22 B
18 23 T
18 24 T
18 25 H
18 26 N
18 27 H
18 28 N
18 29 N
18 30 N
18 31 H
18 32 N
18 33 N
18 34 N
18 35 N
18 36 N
18 37 N
18 38 T
18 39 H
18 40 H
18 41 T
18 42 T
18 43 N
18 44 N
18 45 T
18 46 B
18 47 N
18 48 N
18 49 N
18 50 T
18 51 N
18 52 T
18 53 N
18 54 N
18 55 N
18 56 H
18 57 N
18 58 N
18 59 N
18 60 T
18 61 N
18 62 N
18 63 H
18 64 N
18 65 N
18 66 T
18 67 N
18 68 T
18 69 B
18 70 N
18 71 T
18 72 N
18 73 B
18 74 H
18 75 N
18 76 N
18 77 H
18 78 N
18 79 H
18 80 N
18 81 H
18 82 B
18 83 H
18 84 N
18 85 T
18 86 B
18 87 B
18 88 N
18 89 N
18 90 N
18 91 N
18 92 B
18 93 N
18 94 N
18 95 N
18 96 N
18 97 N
18 98 N
18 99 T
18 100 N
19 1 T
19 2 T
19 3 T
19 4 N
19 5 N
19 6 N
19 7 T
19 8 N
19 9 T
19 10 N
19 11 N
19 12 N
19 13 N
19 14 N
19 15 T
19 16 N
19 17 N
19 18 N
19 19 N
19 20 T
19 21 T
19 22 N
19 23 N
19 24 N
19 25 H
19 26 N
19 27 N
19 28 H
19 29 N
19 30 T
19 31 N
19 32 N
19 33 N
19 34 T
19 35 N
19 36 H
19 37 N
19 38 T
19 39 N
19 40 N
19 41 N
19 42 N
19 43 B
19 44 N
19 45 B
19 46 N
19 47 N
19 48 N
19 49 N
19 50 H
19 51 N
19 52 B
19 53 N
19 54 N
19 55 N
19 56 B
19 57 N
19 58 N
19 59 N
19 60 N
19 61 N
19 62 T
19 63 N
19 64 H
19 65 N
19 66 B
19 67 N
19 68 B
19 69 N
19 70 N
19 71 N
19 72 T
19 73 T
19 74 T
19 75 N
19 76 B
19 77 N
19 78 H
19 79 T
19 80 H
19 81 B
19 82 N
19 83 N
19 84 N
19 85 N
19 86 T
19 87 N
19 88 H
19 89 H
19 90 N
19 91 N
19 92 N
19 93 H
19 94 H
19 95 N
19 96 H
19 97 H
19 98 N
19 99 H
19 100 T
20 1 H
20 2 N
20 3 T
20 4 H
20 5 N
20 6 N
20 7 N
20 8 H
20 9 N
20 10 N
20 11 B
20 12 N
20 13 N
20 14 T
20 15 N
20 16 T
20 17 N
20 18 N
20 19 T
20 20 N
20 21 N
20 22 N
20 23 T
20 24 N
20 25 N
20 26 H
20 27 N
20 28 N
20 29 T
20 30 N
20 31 T
20 32 N
20 33 T
20 34 T
20 35 B
20 36 N
20 37 N
20 38 B
20 39 N
20 40 H
20 41 T
20 42 T
20 43 T
20 44 N
20 45 T
20 46 H
20 47 N
20 48 N
20 49 H
20 50 N
20 51 N
20 52 H
20 53 T
20 54 N
20 55 N
20 56 N
20 57 N
20 58 B
20 59 N
20 60 N
20 61 N
20 62 T
20 63 N
20 64 N
20 65 N
20 66 N
20 67 T
20 68 N
20 69 H
20 70 T
20 71 T
20 72 N
20 73 N
20 74 H
20 75 N
20 76 N
20 77 T
20 78 N
20 79 T
20 80 B
20 81 N
20 82 B
20 83 T
20 84 H
20 85 H
20 86 T
20 87 T
20 88 H
20 89 T
20 90 T
20 91 H
20 92 T
20 93 H
20 94 N
20 95 N
20 96 T
20 97 N
20 98 N
20 99 N
20 100 B
21 1 N
21 2 T
21 3 T
21 4 H
21 5 N
21 6 T
21 7 N
21 8 N
21 9 H
21 10 T
21 11 N
21 12 N
21 13 T
21 14 N
21 15 H
21 16 T
21 17 B
21 18 T
21 19 B
21 20 N
21 21 N
21 22 N
21 23 T
21 24 N
21 25 N
21 26 N
21 27 H
21 28 T
21 29 N
21 30 T
21 31 N
21 32 T
21 33 B
21 34 H
21 35 N
21 36 N
21 37 H
21 38 N
21 39 H
21 40 B
21 41 N
21 42 N
21 43 T
21 44 H
21 45 H
21 46 N
21 47 H
21 48 T
21 49 B
21 50 N
21 51 N
21 52 N
21 53 H
21 54 H
21 55 N
21 56 B
21 57 N
21 58 T
21 59 T
21 60 N
21 61 B
21 62 T
21 63 N
21 64 N
21 65 N
21 66 N
21 67 N
21 68 N
21 69 N
21 70 N
21 71 N
21 72 H
21 73 T
21 74 B
21 75 T
21 76 N
21 77 N
21 78 T
21 79 H
21 80 T
21 81 B
21 82 B
21 83 H
21 84 B
21 85 T
21 86 B
21 87 N
21 88 H
21 89 H
21 90 T
21 91 T
21 92 B
21 93 N
21 94 H
21 95 H
21 96 N
21 97 T
21 98 H
21 99 B
21 100 N
22 1 N
22 2 T
22 3 T
22 4 H
22 5 N
22 6 N
22 7 N
22 8 N
22 9 N
22 10 N
22 11 N
22 12 N
22 13 N
22 14 N
22 15 N
22 16 H
22 17 N
22 18 T
22 19 H
22 20 N
22 21 N
22 22 B
22 23 N
22 24 B
22 25 T
22 26 T
22 27 H
22 28 B
22 29 N
22 30 H
22 31 B
22 32 N
22 33 T
22 34 T
22 35 N
22 36 H
22 37 T
22 38 N
22 39 N
22 40 H
22 41 H
22 42 H
22 43 N
22 44 H
22 45 H
22 46 B
22 47 T
22 48 T
22 49 T
22 50 N
22 51 T
22 52 H
22 53 N
22 54 B
22 55 N
22 56 B
22 57 N
22 58 N
22 59 T
22 60 T
22 61 N
22 62 N
22 63 H
22 64 N
22 65 B
22 66 H
22 67 N
22 68 N
22 69 N
22 70 T
22 71 N
22 72 N
22 73 H
22 74 N
22 75 H
22 76 N
22 77 N
22 78 N
22 79 H
22 80 H
22 81 N
22 82 T
22 83 T
22 84 N
22 85 N
22 86 H
22 87 N
22 88 H
22 89 N
22 90 N
22 91 N
22 92 H
22 93 N
22 94 H
22 95 H
22 96 T
22 97 N
22 98 B
22 99 N
22 100 T
23 1 N
23 2 T
23 3 N
23 4 H
23 5 T
23 6 N
23 7 N
23 8 T
23 9 N
23 10 N
23 11 N
23 12 N
23 13 T
23 14 T
23 15 N
23 16 H
23 17 N
23 18 N
23 19 N
23 20 T
23 21 H
23 22 H
23 23 N
23 24 N
23 25 B
23 26 T
23 27 B
23 28 T
23 29 T
23 30 H
23 31 T
23 32 N
23 33 H
23 34 T
23 35 N
23 36 H
23 37 N
23 38 N
23 39 N
23 40 N
23 41 N
23 42 H
23 43 B
23 44 B
23 45 H
23 46 H
23 47 N
23 48 H
23 49 H
23 50 N
23 51 N
23 52 H
23 53 N
23 54 N
23 55 B
23 56 N
23 57 N
23 58 T
23 59 N
23 60 N
23 61 B
23 62 B
23 63 B
23 64 T
23 65 N
23 66 N
23 67 H
23 68 B
23 69 H
23 70 N
23 71 N
23 72 N
23 73 N
23 74 B
23 75 N
23 76 H
23 77 B
23 78 T
23 79 T
23 80 N
23 81 H
23 82 N
23 83 N
23 84 H
23 85 B
23 86 N
23 87 H
23 88 T
23 89 T
23 90 T
23 91 H
23 92 N
23 93 T
23 94 T
23 95 N
23 96 H
23 97 H
23 98 H
23 99 N
23 100 H
24 1 N
24 2 N
24 3 N
24 4 T
24 5 N
24 6 H
24 7 N
24 8 N
24 9 N
24 10 H
24 11 N
24 12 N
24 13 N
24 14 N
24 15 N
24 16 T
24 17 N
24 18 N
24 19 H
24 20 H
24 21 H
24 22 H
24 23 T
24 24 N
24 25 T
24 26 N
24 27 H
24 28 T
24 29 T
24 30 T
24 31 N
24 32 N
